ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,BATT_CR2032_MPD,Keystone,103,digi,103K-ND,,,,,,
Q404,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q405,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q406,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q407,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q408,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q409,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q410,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q411,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q412,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q701,MOS_PRO,SOT23,vishay,SI2323DS-T1-E3,digi,SI2323DS-T1-E3CT-ND,,,,,,
Q1001,MOS_PRO,SOT23,vishay,SI2323DS-T1-E3,digi,SI2323DS-T1-E3CT-ND,sky-macau.com,4824167646,,,,,
R1,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R2,100R,SM0805,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R3,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R4,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R5,330R,SM0805,ECG,ERA6AEB331V,digi,P330DADKR-ND,,,,,,
R6,680R,SM0805,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R7,680R,SM0805,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R8,680R,SM0805,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R9,680R,SM0805,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R10,47R,SM0805,ECG,ERA6AEB473V,digi,P47KDACT-ND,,,,,,
R11,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R12,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R13,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R14,100k,SM0805,ECG,ERA6AEB104V,DIGI,P100KDACT-ND,,,,,,
R99,2K,SM0805,ECG,ERA6AEB222V,digi,P2.2KDACT-ND,,,,,,
R102,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R103,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R104,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R106,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R107,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R108,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R109,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R110,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R111,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R112,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND,,,,,,
R113,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R114,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R137,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R141,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R161,1M,SM0805,ECG,ERA-6AEB105V,digi,P1MDACT-ND,,,,,,
R162,1M,SM0805,ECG,ERA-6AEB105V,digi,P1MDACT-ND,,,,,,
R163,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R164,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R166,1M,SM0805,ECG,ERA-6AEB105V,digi,P1MDACT-ND,,,,,,
R167,68k,SM1206,ECG,ERJ-8GEYJ680V,DIGI,P68ECT-ND,,,,,,
R168,68k,SM1206,ECG,ERJ-8GEYJ680V,DIGI,P68ECT-ND,,,,,,
R170,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R171,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R172,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R173,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R174,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R175,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R176,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R210,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R211,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R212,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R213,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R214,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R215,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R220,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R221,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R222,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R223,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R224,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R225,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R230,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R231,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R232,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
