; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Ignition timing advance for #1 cylinder: 
; Engine RPM: RPM
;
Time,Intake manifold absolute pressure,Time,Ignition timing advance for #1 cylinder,Time,Engine RPM
46709.2029401,6.38166,46709.4650066,21,46709.3350136,973.5
46709.8560446,6.38166,46710.1340668,23,46709.9955878,1004.5
46710.561201,6.236623,46710.8323685,24,46710.6930948,1028.25
46711.2577004,6.236623,46711.5422564,24,46711.4161343,1032.75
46711.9622178,6.236623,46712.2612171,24,46712.1071699,1031.75
46712.659683,5.656472,46712.9494367,16.5,46712.801209,1020
46713.3933573,5.511434,46713.6794976,16,46713.5377756,938.25
46714.1113992,6.38166,46714.4113122,5,46714.2752532,885.5
46714.8403797,7.687,46715.1085583,7.5,46714.9713249,882
46715.5527458,7.541962,46715.8346406,14,46715.7153107,946
46716.3066445,6.671736,46716.5953441,12.5,46716.4274705,971.25
46717.0216888,6.526698,46717.3059677,7,46717.1536477,1022.75
46717.7238299,6.091585,46718.0284784,9,46717.8614894,1012
46718.4654485,6.091585,46718.7258906,6,46718.5866015,992.75
46719.1707958,6.816774,46719.461552,12.5,46719.3144759,897.25
46719.8355902,12.18317,46720.0204852,-8.5,46719.9396054,1046.75
46720.214755,13.48851,46720.400579,-9,46720.2996152,1053.75
46720.567503,13.34347,46720.7476504,-6.5,46720.6526532,1081.25
46720.9296421,12.76332,46721.0997851,-2,46721.0125767,1219.5
46721.2906879,12.32821,46721.4916908,0,46721.3736627,1411.5
46721.6946792,12.18317,46721.8947214,5,46721.7747027,1642.75
46722.0796943,11.89309,46722.2647262,10.5,46722.1727368,1877
46722.429699,12.47325,46722.6136265,9.5,46722.524732,2101
46722.801661,12.61828,46722.9717364,8,46722.8947445,2345.25
46723.1677607,13.0534,46723.3398216,12,46723.2557655,2578
46723.4996703,13.0534,46723.6867963,16,46723.603765,2869
46723.9137797,12.90836,46724.0906781,19,46724.0047024,3243.75
46724.295835,12.61828,46724.4868516,19.5,46724.4037091,3629.75
46724.7048221,11.89309,46724.9598458,23,46724.8167098,4048
46725.2729795,10.73279,46725.5678683,25.5,46725.4228649,4626.25
46726.004888,8.99234,46726.3029497,37,46726.1318811,5200.5
46726.7349255,8.122113,46726.9983061,40,46726.8669555,5592.25
46727.4498866,7.832038,46727.7140054,42,46727.5969896,5903.75
46728.1290734,7.832038,46728.4140756,44.5,46728.2719462,6146.75
46728.8511219,7.106849,46729.1370188,46.5,46728.9961042,6308.25
46729.5700274,6.671736,46729.8503887,49,46729.7041591,6393
46730.2771901,3.770981,46730.5794297,51.5,46730.4052935,6151.75
46731.0022284,3.480906,46731.2792714,50.5,46731.1319888,6069
46731.7113398,3.916019,46732.0213435,49,46731.879363,5892.75
46732.4431593,4.061057,46732.7324268,48.5,46732.582452,5768.5
46733.1544102,4.351132,46733.4015509,48.5,46733.2793963,5709.75
46733.8513477,4.49617,46734.1154443,48.5,46733.971432,5643.25
46734.517571,4.351132,46734.8095665,48.5,46734.6714731,5586.5
46735.2405587,4.351132,46735.5106888,49,46735.3655234,5522.25
46735.9355603,4.49617,46736.2226062,49,46736.0789036,5453.5
46736.656603,3.770981,46736.9238786,52.5,46736.8045343,5367
46737.3795668,2.175566,46737.6206916,53,46737.5256683,5116.25
46737.8757019,4.641208,46738.0255144,38,46737.9506761,5052.5
46738.2196524,4.786245,46738.3777276,42.5,46738.2936343,4998.25
46738.5428148,3.19083,46738.6831652,22.5,46738.6196265,4866.5
46739.1017307,3.625943,46739.275759,33.5,46739.1877641,3031.5
46739.4507557,13.19843,46739.6197625,17,46739.5357112,2928.75
46739.7918054,13.77859,46739.9497925,16.5,46739.8757917,3028
46740.093705,13.77859,46740.2298022,18,46740.1557107,3151.75
46740.3918192,13.48851,46740.5738279,20,46740.4988468,3265.25
46740.761829,13.34347,46740.9167502,21,46740.8307476,3394.25
46741.0827545,12.32821,46741.2387775,29,46741.166864,3510
46741.3978646,10.15264,46741.5738664,30,46741.4998922,3586
46741.7359075,10.0076,46741.9029519,31.5,46741.8289204,3676.25
46742.0748981,5.366396,46742.2398382,22.5,46742.1598237,3675.25
46742.4198212,2.465641,46742.5848452,22.5,46742.5129839,3619.5
46742.8319358,2.175566,46743.1049942,22.5,46742.978963,3574
46743.5219797,2.030528,46743.8252505,22.5,46743.6689033,3429
46744.2400238,1.885491,46744.4850238,22.5,46744.3660226,3298.5
46744.9050555,2.030528,46745.1880404,22.5,46745.0461399,3162.5
46745.6490126,2.030528,46745.9441115,22.5,46745.7791115,3039
46746.3671381,2.320604,46746.6340646,22.5,46746.4946655,2884.25
46747.0661013,2.320604,46747.3375514,22.5,46747.1891439,2541.5
46747.7709518,2.320604,46748.064304,22.5,46747.9312296,2061.75
46748.5072983,2.900755,46748.8102128,22.5,46748.6533251,1679
46749.1973211,3.19083,46749.505371,22.5,46749.3403462,1528.25
46749.9052401,8.99234,46750.1993246,8.5,46750.0394856,1510.25
46750.7054625,10.0076,46750.9715985,-3,46750.8514714,1639.75
46751.395487,14.06866,46751.6796586,-1,46751.5514928,1728.5
46752.1315145,14.06866,46752.4151197,2,46752.2516168,1887.75
46752.8249104,14.06866,46753.1045138,3,46752.9605931,2132.25
46753.4995556,14.2137,46753.7927376,3.5,46753.6312313,2345.75
